N° Police,Nom,Prénom,Sexe,Âge,Catégorie Prof.,Salaire Annuel (€),Ville,Code Postal,Type Contrat,Statut Contrat,Date Souscription,Date Échéance,Ancienneté (mois),Prime Annuelle (€),Franchise (€),Nb Garanties,Type Véhicule,Usage Véhicule,Puissance Fiscale (CV),Valeur Véhicule (€),Coeff. Bonus-Malus,Nb Sinistres (3 ans),Montant Sinistres (€),Dernier Sinistre,Score Risque (0-100),Résiliation
POL-2026-00021,Mbarga,Sophie,F,46,Cadre,53900,Lille,59007,Silver,Actif,22/12/2020,22/12/2026,68,1727,600,5,Sportive,Professionnel,14,46600,0.83,0,0,Aucun,29,0
POL-2026-00022,Guerin,Pierre,H,38,Employé,26200,Lyon,69005,Silver,Actif,26/05/2015,26/05/2027,135,588,400,5,Citadine,Privé,5,6600,0.89,1,1341,6-12 mois,27,0
POL-2026-00023,Moreau,Amina,F,36,Employé,22600,Paris,75016,Bronze,Actif,31/10/2019,31/10/2026,82,581,800,3,Citadine,Professionnel,5,11800,0.95,1,1476,6-12 mois,62,0
POL-2026-00024,Durand,Fatou,F,53,Cadre,52100,Toulouse,31017,Silver,Actif,20/02/2022,20/02/2027,54,831,500,5,SUV,Trajet travail,7,33100,0.86,1,342,2-3 ans,41,0
POL-2026-00025,Martinez,Fatou,F,61,Employé,32200,Toulouse,31000,Silver,Actif,22/04/2023,22/04/2027,40,606,600,5,Citadine,Privé,6,16900,0.72,0,0,Aucun,15,0
POL-2026-00026,Dubois,Pierre,H,65,Ouvrier,22900,Marseille,13012,Gold,Actif,07/07/2017,07/07/2027,109,709,400,8,Citadine,Privé,4,10700,0.83,0,0,Aucun,16,0
POL-2026-00027,David,Pierre,H,59,Indépendant,34900,Lyon,69012,Silver,Actif,07/06/2019,07/06/2027,86,801,600,4,Citadine,Privé,6,16000,1.01,0,0,Aucun,57,0
POL-2026-00028,Petit,Julien,H,41,Employé,19800,Paris,75007,Silver,Actif,20/01/2021,20/01/2027,67,594,400,5,Citadine,Trajet travail,5,12800,0.83,1,1119,2-3 ans,34,0
POL-2026-00029,Martin,Laurent,H,47,Cadre,58300,Toulouse,31009,Silver,Actif,23/06/2015,23/06/2027,134,700,500,4,Berline,Trajet travail,8,13900,0.9,0,0,Aucun,41,0
POL-2026-00030,Traoré,Émilie,F,52,Retraité,26000,Lyon,69015,Platine,Actif,21/07/2026,21/07/2027,1,1226,150,10,SUV,Privé,8,18300,0.77,1,1211,2-3 ans,38,0
POL-2026-00031,Robert,Sarah,F,44,Indépendant,40700,Nice,6007,Gold,Actif,15/03/2025,15/03/2027,17,1161,300,7,SUV,Privé,10,44400,0.69,0,0,Aucun,12,0
POL-2026-00032,Martin,Isabelle,F,44,Retraité,27100,Paris,75001,Silver,Actif,22/03/2012,22/03/2027,173,1129,600,4,SUV,Trajet travail,11,45600,0.95,0,0,Aucun,28,0
POL-2026-00033,Traoré,Samuel,H,53,Cadre,56400,Lyon,69007,Silver,Actif,10/09/2016,10/09/2026,119,681,500,5,Berline,Trajet travail,9,24600,0.68,0,0,Aucun,23,0
POL-2026-00034,Moreau,Thomas,H,41,Retraité,24000,Lyon,69005,Bronze,Suspendu,06/05/2018,06/05/2027,99,545,800,3,Citadine,Trajet travail,6,20300,0.93,1,578,2-3 ans,53,0
POL-2026-00035,Perrin,Pierre,H,33,Employé,28900,Toulouse,31007,Platine,Actif,21/05/2026,21/05/2027,3,1252,0,10,Citadine,Trajet travail,4,17400,0.88,2,1985,2-3 ans,33,0
POL-2026-00036,Bernard,Samuel,H,37,Cadre,50200,Marseille,13004,Bronze,Actif,29/08/2017,29/08/2026,108,481,1000,3,Citadine,Trajet travail,5,15200,0.79,0,0,Aucun,26,0
POL-2026-00037,Durand,Mamadou,H,50,Employé,26100,Bordeaux,33002,Bronze,Actif,27/02/2020,27/02/2027,78,457,1000,2,Citadine,Professionnel,5,8700,0.74,2,5689,< 6 mois,39,0
POL-2026-00038,Richard,Jean,H,42,Cadre,77800,Nice,6019,Platine,Actif,08/08/2017,08/08/2026,108,1267,150,10,Citadine,Privé,6,22000,0.73,0,0,Aucun,8,0
POL-2026-00039,Blanc,Antoine,H,46,Cadre,48400,Lyon,69002,Gold,Actif,21/12/2025,21/12/2026,8,436,200,6,Citadine,Privé,6,14500,0.5,0,0,Aucun,3,0
POL-2026-00040,Legrand,Fatou,F,51,Employé,25400,Bordeaux,33014,Bronze,Actif,23/05/2018,23/05/2027,99,463,600,2,Citadine,Privé,6,10500,0.9,2,2884,2-3 ans,36,0
POL-2026-00041,André,Samuel,H,37,Indépendant,41100,Paris,75014,Bronze,Actif,15/12/2017,15/12/2026,104,601,600,2,SUV,Trajet travail,7,23700,0.91,0,0,Aucun,28,0
POL-2026-00042,Laurent,Amina,F,52,Cadre,58000,Lyon,69012,Bronze,Actif,05/04/2022,05/04/2027,52,764,600,3,Berline,Privé,7,24100,1.0,0,0,Aucun,34,0
POL-2026-00043,Robert,Laura,F,47,Employé,20300,Marseille,13018,Silver,Actif,21/10/2025,21/10/2026,10,928,400,5,Sportive,Professionnel,17,25100,0.71,0,0,Aucun,20,0
POL-2026-00044,François,Alexandre,H,26,Employé,33000,Paris,75000,Bronze,Actif,22/02/2012,22/02/2027,174,1118,600,3,SUV,Trajet travail,10,38300,1.31,0,0,Aucun,62,0
POL-2026-00045,Laurent,Anne,F,61,Cadre,56400,Bordeaux,33006,Platine,Actif,08/01/2016,08/01/2027,127,1213,150,9,Berline,Trajet travail,7,15800,0.7,1,3967,< 6 mois,13,0
POL-2026-00046,Martinez,Isabelle,F,35,Cadre,38000,Bordeaux,33003,Platine,Actif,29/04/2017,29/04/2027,112,842,0,11,Citadine,Trajet travail,4,13700,0.67,0,0,Aucun,24,0
POL-2026-00047,Rousseau,Nicolas,H,20,Cadre,60400,Lille,59011,Silver,Actif,06/02/2015,06/02/2027,138,827,500,4,Berline,Privé,6,18300,0.7,0,0,Aucun,29,0
POL-2026-00048,Nguyen,Olivier,H,28,Employé,30200,Toulouse,31012,Silver,Actif,18/07/2016,18/07/2027,121,380,500,4,Citadine,Trajet travail,6,10900,0.51,0,0,Aucun,12,0
POL-2026-00049,Mercier,Manon,F,29,Indépendant,25300,Bordeaux,33017,Bronze,Actif,01/08/2024,01/08/2027,25,750,800,2,Berline,Privé,7,16900,1.22,0,0,Aucun,59,0
POL-2026-00050,Martin,Michel,H,43,Étudiant,12700,Marseille,13007,Bronze,Actif,26/10/2019,26/10/2026,82,816,1000,2,Berline,Trajet travail,7,20800,1.14,0,0,Aucun,47,0
POL-2026-00051,Michel,Éric,H,38,Cadre,59000,Paris,75004,Gold,Actif,12/04/2013,12/04/2027,160,2002,200,7,Berline,Professionnel,9,42600,0.99,1,1382,2-3 ans,64,0
POL-2026-00052,Nguyen,Alexandre,H,38,Ouvrier,23700,Paris,75018,Bronze,Actif,10/04/2022,10/04/2027,52,406,1000,2,Citadine,Trajet travail,4,19500,0.66,0,0,Aucun,8,0
POL-2026-00053,Lambert,Aïcha,F,50,Retraité,30800,Bordeaux,33013,Bronze,Actif,27/01/2012,27/01/2027,175,1218,1000,3,SUV,Professionnel,10,34000,1.22,0,0,Aucun,60,0
POL-2026-00054,Legrand,Inès,F,46,Sans emploi,7500,Nice,6015,Bronze,Actif,14/08/2025,14/08/2026,12,416,600,2,Utilitaire,Privé,6,17800,0.75,0,0,Aucun,27,0
POL-2026-00055,Girard,Sophie,F,46,Ouvrier,24600,Paris,75008,Bronze,Actif,05/08/2021,05/08/2026,60,686,1000,2,SUV,Trajet travail,11,40300,0.77,1,834,6-12 mois,19,0
POL-2026-00056,Durand,Inès,F,47,Retraité,19600,Toulouse,31008,Silver,Actif,13/05/2021,13/05/2027,63,1095,500,5,Berline,Trajet travail,9,32700,1.14,0,0,Aucun,58,0
POL-2026-00057,Kamga,Antoine,H,50,Étudiant,10600,Lille,59007,Gold,Actif,13/05/2017,13/05/2027,111,1121,400,6,Berline,Trajet travail,8,16500,0.96,2,14819,6-12 mois,56,0
POL-2026-00058,Roussel,Céline,F,18,Retraité,21900,Nantes,44014,Gold,Actif,27/12/2023,27/12/2026,32,1852,200,7,Citadine,Privé,4,11700,1.41,0,0,Aucun,98,0
POL-2026-00059,Ndiaye,Antoine,H,37,Cadre,51400,Toulouse,31004,Silver,Actif,12/02/2023,12/02/2027,42,721,400,4,SUV,Privé,8,15900,0.91,0,0,Aucun,41,0
POL-2026-00060,Mbarga,Thomas,H,18,Employé,20100,Bordeaux,33019,Gold,Actif,12/09/2016,12/09/2026,119,1656,300,7,Berline,Trajet travail,6,32600,0.84,1,1108,2-3 ans,56,0
POL-2026-00061,Michel,Céline,F,42,Employé,29100,Bordeaux,33003,Silver,Actif,29/05/2022,29/05/2027,51,559,600,5,Citadine,Privé,6,24700,0.71,0,0,Aucun,16,0
POL-2026-00062,Lefebvre,Karim,H,42,Cadre,51700,Nantes,44009,Gold,Actif,23/06/2013,23/06/2027,158,484,200,6,Citadine,Trajet travail,4,12300,0.5,0,0,Aucun,0,0
POL-2026-00063,Laurent,Nathalie,F,56,Cadre,40900,Paris,75006,Silver,Suspendu,08/08/2013,08/08/2026,156,776,600,4,Sportive,Trajet travail,14,21400,0.74,1,472,2-3 ans,41,1
POL-2026-00064,Traoré,Anne,F,57,Cadre,39600,Nice,6012,Bronze,Résilié,05/01/2022,05/01/2027,55,985,1000,2,Berline,Professionnel,7,27200,1.05,1,4118,2-3 ans,47,1
POL-2026-00065,Bonnet,Céline,F,45,Ouvrier,27600,Paris,75013,Platine,Actif,28/03/2018,28/03/2027,101,1516,100,11,Berline,Privé,8,16000,0.97,1,429,2-3 ans,33,0
POL-2026-00066,Girard,Claire,F,35,Ouvrier,9700,Nantes,44018,Bronze,Actif,12/08/2021,12/08/2026,60,748,1000,3,Berline,Professionnel,9,17400,0.87,0,0,Aucun,40,0
POL-2026-00067,Fotso,Élodie,F,48,Retraité,23900,Paris,75015,Bronze,Actif,17/06/2021,17/06/2027,62,434,1000,2,Berline,Privé,8,27400,0.6,1,3092,6-12 mois,28,0
POL-2026-00068,Martinez,Olivier,H,35,Employé,24400,Paris,75004,Bronze,Actif,16/08/2016,16/08/2026,120,693,600,2,Berline,Trajet travail,9,24100,0.92,0,0,Aucun,33,0
POL-2026-00069,Kamga,Thomas,H,42,Employé,36300,Paris,75004,Silver,Actif,18/03/2022,18/03/2027,53,745,600,5,Citadine,Trajet travail,5,10100,1.07,1,612,2-3 ans,63,0
POL-2026-00070,Ndiaye,Jean,H,55,Retraité,21300,Marseille,13017,Silver,Actif,08/05/2024,08/05/2027,27,636,600,4,Berline,Privé,7,17500,0.89,0,0,Aucun,16,0
POL-2026-00071,Thomas,Karim,H,35,Retraité,24600,Lyon,69009,Silver,Actif,19/09/2022,19/09/2026,47,945,400,5,SUV,Privé,7,31400,0.9,0,0,Aucun,29,0
POL-2026-00072,Roux,Nicolas,H,52,Sans emploi,6800,Paris,75001,Gold,Actif,15/09/2012,15/09/2026,167,555,300,6,Citadine,Privé,4,10400,0.63,1,731,6-12 mois,0,0
POL-2026-00073,Muller,Céline,F,51,Retraité,23800,Marseille,13016,Bronze,Actif,13/09/2022,13/09/2026,47,722,800,3,SUV,Trajet travail,9,20300,1.0,0,0,Aucun,47,0
POL-2026-00074,Perrin,Éric,H,30,Retraité,24500,Marseille,13012,Silver,Actif,14/02/2021,14/02/2027,66,353,600,5,Citadine,Trajet travail,4,10700,0.5,0,0,Aucun,0,0
POL-2026-00075,Durand,David,H,55,Cadre,50600,Lille,59000,Bronze,Actif,08/03/2017,08/03/2027,113,632,1000,3,SUV,Privé,8,33800,0.88,1,2567,6-12 mois,27,0
POL-2026-00076,David,Paul,H,51,Cadre,66300,Nantes,44015,Gold,Actif,26/01/2025,26/01/2027,19,1718,300,8,SUV,Privé,9,28200,1.38,0,0,Aucun,78,0
POL-2026-00077,Bonnet,Samuel,H,43,Employé,22300,Bordeaux,33012,Bronze,Actif,06/07/2022,06/07/2027,49,355,600,3,SUV,Trajet travail,9,18300,0.51,0,0,Aucun,9,0
POL-2026-00078,Nicolas,Isabelle,F,32,Ouvrier,24600,Paris,75012,Bronze,Actif,14/12/2023,14/12/2026,32,617,600,2,Berline,Privé,9,31100,0.82,0,0,Aucun,25,0
POL-2026-00079,Richard,Laura,F,31,Étudiant,10400,Lyon,69017,Silver,Suspendu,06/10/2012,06/10/2026,166,1123,400,5,Sportive,Trajet travail,19,17300,0.88,0,0,Aucun,32,0
POL-2026-00080,Martinez,Fatou,F,35,Cadre,58300,Nice,6009,Silver,Actif,21/09/2012,21/09/2026,167,814,500,5,Berline,Professionnel,8,18800,0.76,2,1499,1-2 ans,43,0
POL-2026-00081,Garcia,Élodie,F,49,Ouvrier,35200,Paris,75009,Gold,Actif,18/04/2015,18/04/2027,136,1354,400,6,SUV,Trajet travail,7,24100,1.05,1,864,< 6 mois,48,0
POL-2026-00082,Simon,Ibrahim,H,30,Employé,21900,Marseille,13012,Silver,Résilié,30/11/2022,30/11/2026,45,1338,400,4,SUV,Professionnel,9,31600,0.99,0,0,Aucun,37,1
POL-2026-00083,Dupont,Inès,F,48,Employé,20600,Nice,6003,Gold,Actif,07/05/2017,07/05/2027,111,896,400,7,Citadine,Trajet travail,6,14600,0.86,1,1245,6-12 mois,40,0
POL-2026-00084,Fournier,Laurent,H,26,Employé,19900,Nice,6003,Silver,Actif,09/09/2016,09/09/2026,119,795,500,5,Citadine,Trajet travail,5,17800,1.07,1,689,< 6 mois,57,0
POL-2026-00085,Garnier,Nicolas,H,39,Employé,31900,Marseille,13016,Bronze,Actif,24/08/2013,24/08/2026,156,532,600,3,Berline,Privé,7,17100,0.86,0,0,Aucun,33,0
POL-2026-00086,David,Hugo,H,43,Étudiant,10100,Bordeaux,33004,Bronze,Résilié,30/04/2024,30/04/2027,28,919,600,2,Citadine,Privé,5,14700,1.54,0,0,Aucun,89,1
POL-2026-00087,Perrin,Fatou,F,74,Cadre,62000,Marseille,13010,Bronze,Actif,13/08/2015,13/08/2026,132,505,600,3,Berline,Trajet travail,7,23600,0.77,0,0,Aucun,10,0
POL-2026-00088,Thomas,Ibrahim,H,24,Retraité,14800,Lille,59005,Bronze,Résilié,13/09/2023,13/09/2026,35,875,1000,3,Berline,Privé,8,12100,0.95,2,2987,2-3 ans,71,1
POL-2026-00089,Mbarga,Karim,H,61,Indépendant,48400,Paris,75004,Silver,Actif,15/02/2018,15/02/2027,102,660,400,5,Berline,Professionnel,6,42800,0.5,0,0,Aucun,3,0
POL-2026-00090,Bernard,Michel,H,44,Employé,21000,Paris,75011,Silver,Suspendu,27/06/2013,27/06/2027,158,482,600,5,Citadine,Trajet travail,5,7300,0.72,0,0,Aucun,10,0
POL-2026-00091,Muller,Éric,H,47,Employé,36100,Bordeaux,33016,Silver,Actif,07/08/2025,07/08/2026,12,1604,500,4,SUV,Professionnel,8,34700,1.08,1,2459,2-3 ans,60,0
POL-2026-00092,Bertrand,Laura,F,44,Retraité,36300,Paris,75008,Silver,Actif,20/05/2024,20/05/2027,27,556,400,4,Berline,Privé,8,25200,0.54,0,0,Aucun,0,0
POL-2026-00093,Vincent,Hugo,H,48,Employé,31400,Bordeaux,33002,Silver,Actif,11/06/2014,11/06/2027,146,571,400,5,SUV,Trajet travail,11,33000,0.5,0,0,Aucun,3,0
POL-2026-00094,Martin,Alexandre,H,40,Étudiant,10200,Lyon,69004,Silver,Actif,07/04/2026,07/04/2027,4,604,500,4,Citadine,Trajet travail,5,10100,0.86,0,0,Aucun,19,0
POL-2026-00095,Blanc,Thomas,H,61,Employé,27900,Nantes,44003,Bronze,Actif,17/05/2016,17/05/2027,123,718,800,2,Berline,Privé,7,29400,1.08,0,0,Aucun,37,0
POL-2026-00096,Durand,Sophie,F,36,Indépendant,22100,Nantes,44017,Bronze,Actif,27/02/2019,27/02/2027,90,436,1000,2,Citadine,Trajet travail,6,7000,0.87,0,0,Aucun,26,0
POL-2026-00097,Faure,Hugo,H,57,Retraité,21000,Marseille,13006,Silver,Actif,08/05/2021,08/05/2027,63,778,500,4,SUV,Trajet travail,10,29300,0.72,0,0,Aucun,30,0
POL-2026-00098,Guerin,Yann,H,34,Employé,20400,Lille,59007,Silver,Actif,13/09/2013,13/09/2026,155,459,400,4,Citadine,Professionnel,5,9900,0.5,0,0,Aucun,10,0
POL-2026-00099,Nguyen,Jean,H,41,Employé,19200,Lyon,69001,Bronze,Actif,07/12/2013,07/12/2026,152,841,600,3,Sportive,Trajet travail,10,35500,0.95,0,0,Aucun,20,0
POL-2026-00100,Blanc,Laura,F,28,Sans emploi,9200,Marseille,13008,Bronze,Actif,14/09/2021,14/09/2026,59,490,800,2,Citadine,Privé,4,13900,1.04,1,1022,2-3 ans,63,0
POL-2026-00101,Garcia,Sarah,F,48,Employé,30800,Paris,75018,Silver,Actif,07/07/2026,07/07/2027,1,508,500,4,Berline,Trajet travail,6,32100,0.5,0,0,Aucun,12,0
POL-2026-00102,Muller,Sarah,F,61,Cadre,61800,Nantes,44008,Silver,Actif,07/09/2024,07/09/2026,23,682,600,4,Citadine,Trajet travail,4,10600,1.03,0,0,Aucun,35,0
POL-2026-00103,Perrin,Mamadou,H,41,Cadre,48700,Nantes,44013,Bronze,Actif,26/12/2024,26/12/2026,20,682,1000,3,Berline,Privé,8,28900,1.02,0,0,Aucun,23,0
POL-2026-00104,David,Isabelle,F,39,Employé,26800,Nice,6003,Silver,Résilié,28/12/2011,28/12/2026,176,1106,500,5,Berline,Privé,8,22400,1.1,1,204,6-12 mois,52,1
POL-2026-00105,Richard,Émilie,F,28,Retraité,25300,Nantes,44002,Gold,Actif,27/09/2017,27/09/2026,107,1320,300,7,Berline,Privé,9,16100,1.02,0,0,Aucun,50,0
POL-2026-00106,Diallo,Isabelle,F,39,Retraité,21700,Nice,6014,Bronze,Actif,09/06/2016,09/06/2027,122,529,1000,2,Citadine,Privé,5,11000,1.0,3,3369,6-12 mois,75,0
POL-2026-00107,Durand,Nicolas,H,21,Cadre,53100,Paris,75001,Gold,Actif,23/02/2023,23/02/2027,42,1578,200,6,Citadine,Trajet travail,6,10800,1.03,0,0,Aucun,49,0
POL-2026-00108,Martinez,Mamadou,H,30,Retraité,20000,Nice,6008,Bronze,Actif,19/11/2013,19/11/2026,153,575,800,3,Citadine,Privé,5,9400,1.07,1,4299,1-2 ans,65,0
POL-2026-00109,Laurent,Mamadou,H,45,Employé,26600,Toulouse,31006,Silver,Suspendu,10/10/2015,10/10/2026,130,811,400,4,Sportive,Trajet travail,13,52300,0.5,0,0,Aucun,0,0
POL-2026-00110,Petit,Marie,F,59,Employé,22000,Marseille,13000,Silver,Actif,20/05/2015,20/05/2027,135,489,500,4,Berline,Privé,8,23900,0.5,0,0,Aucun,0,0
POL-2026-00111,Roussel,Olivier,H,79,Ouvrier,18200,Toulouse,31010,Bronze,Actif,31/08/2019,31/08/2026,84,244,1000,3,Citadine,Trajet travail,5,6900,0.56,0,0,Aucun,0,0
POL-2026-00112,Petit,Nicolas,H,34,Sans emploi,6400,Lyon,69019,Gold,Actif,22/03/2016,22/03/2027,125,1396,200,7,Sportive,Privé,12,25200,0.84,0,0,Aucun,34,0
POL-2026-00113,Rousseau,Paul,H,61,Employé,31300,Lyon,69001,Silver,Actif,29/06/2018,29/06/2027,98,859,400,4,Citadine,Professionnel,5,13900,0.87,0,0,Aucun,45,0
POL-2026-00114,Blanc,Camille,F,45,Employé,20800,Paris,75016,Platine,Actif,21/11/2020,21/11/2026,69,1402,0,9,Berline,Privé,8,16500,0.9,0,0,Aucun,40,0
POL-2026-00115,Dubois,Paul,H,40,Cadre,51600,Paris,75010,Bronze,Actif,11/09/2017,11/09/2026,107,769,600,2,SUV,Trajet travail,8,33300,1.1,1,4188,2-3 ans,44,0
POL-2026-00116,Leroy,Sarah,F,48,Retraité,23100,Marseille,13014,Gold,Actif,17/09/2021,17/09/2026,59,1333,200,8,Utilitaire,Privé,7,23700,1.08,0,0,Aucun,54,0
POL-2026-00117,Nicolas,Inès,F,43,Employé,15100,Nantes,44001,Platine,Actif,14/05/2012,14/05/2027,171,1183,150,11,SUV,Privé,11,19200,0.65,1,1063,< 6 mois,20,0
POL-2026-00118,Dupont,Léa,F,43,Cadre,42300,Bordeaux,33017,Silver,Actif,29/11/2015,29/11/2026,129,713,600,4,Berline,Trajet travail,7,13400,0.89,1,4253,1-2 ans,24,0
POL-2026-00119,Richard,Samuel,H,37,Indépendant,40800,Toulouse,31000,Bronze,Actif,11/07/2015,11/07/2027,133,933,800,3,Sportive,Trajet travail,12,80900,0.67,1,301,6-12 mois,2,0
POL-2026-00120,Ndiaye,Sarah,F,24,Cadre,52300,Marseille,13018,Silver,Actif,20/11/2015,20/11/2026,129,1115,600,4,Citadine,Professionnel,5,13600,0.86,0,0,Aucun,53,0
POL-2026-00121,Lefebvre,Marie,F,22,Employé,18400,Marseille,13013,Silver,Résilié,23/11/2019,23/11/2026,81,1981,600,4,Sportive,Privé,18,38900,0.98,2,4101,1-2 ans,65,1
POL-2026-00122,Martin,Sophie,F,50,Employé,30400,Paris,75006,Platine,Actif,14/05/2012,14/05/2027,171,713,150,10,Utilitaire,Privé,5,13000,0.5,0,0,Aucun,0,0
POL-2026-00123,Traoré,Julien,H,38,Cadre,63200,Nantes,44000,Silver,Actif,28/06/2023,28/06/2027,38,1102,600,4,Utilitaire,Trajet travail,8,15100,1.39,2,755,< 6 mois,88,0
POL-2026-00124,Martin,Nicolas,H,34,Cadre,59300,Paris,75012,Bronze,Actif,16/02/2018,16/02/2027,102,496,600,3,Citadine,Trajet travail,5,7900,0.99,0,0,Aucun,41,0
POL-2026-00125,Bonnet,Hugo,H,42,Retraité,21800,Lille,59001,Bronze,Actif,21/07/2025,21/07/2027,13,367,800,2,Citadine,Privé,6,16300,0.71,1,856,2-3 ans,25,0
POL-2026-00126,Ndiaye,Hugo,H,52,Ouvrier,23000,Lille,59012,Silver,Actif,28/03/2022,28/03/2027,53,1180,500,5,SUV,Trajet travail,10,22900,1.23,0,0,Aucun,47,0
POL-2026-00127,François,Louis,H,44,Indépendant,33500,Toulouse,31015,Platine,Actif,06/01/2018,06/01/2027,103,1631,100,9,Berline,Trajet travail,9,32300,0.76,0,0,Aucun,34,0
POL-2026-00128,Martinez,Olivier,H,33,Sans emploi,7500,Nantes,44005,Bronze,Résilié,21/04/2019,21/04/2027,88,631,1000,2,Berline,Trajet travail,9,19100,0.9,1,561,1-2 ans,47,1
POL-2026-00129,Vincent,Laurent,H,58,Cadre,58900,Lyon,69004,Gold,Actif,31/07/2012,31/07/2027,169,606,200,8,Utilitaire,Privé,5,12500,0.68,0,0,Aucun,8,0
POL-2026-00130,Petit,Chloé,F,63,Cadre,65200,Nantes,44004,Platine,Actif,19/06/2017,19/06/2027,110,1734,150,9,Berline,Privé,8,19000,1.14,0,0,Aucun,48,0
POL-2026-00131,François,Antoine,H,48,Étudiant,9600,Lille,59004,Bronze,Actif,04/06/2020,04/06/2027,74,363,1000,3,Citadine,Privé,4,4800,0.8,1,2422,2-3 ans,34,0
